period,periodYear,periodQuarter,periodOrder,sourceObject,sourceGrain,ageGroup,unitJoinKey,unitCode,unitZipCode,unitName,coordinatingCouncil,stakeOrDistrict,state,city,snapshotDate,members,participating,males,females,notParticipating,participatingMales,participatingFemales,sourceParticipationRate,lowParticipationFlag,unitPriorityIndex,cityPriorityIndex,isolationVsPerformance,stakeDistanceTier,councilDistanceTier,milesToCouncilCentroid,cityLatitude,cityLongitude
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,gettysburg pennsylvania stake|westminster ward,,,Westminster Ward,Maryland Baltimore,Gettysburg Pennsylvania Stake,Pennsylvania,Westminster,2025 Q3,125.0,13.0,,,,,,0.10400000214576721,1,0.5641701817512512,0.24205592274665833,High isolation / Low participation,?75 mi,?75 mi,231.13827514648438,42.06721496582031,-80.15758514404297
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,hagerstown maryland stake|beaver creek ward,,,Beaver Creek Ward,Maryland Baltimore,Hagerstown Maryland Stake,Maryland,Beaver Creek,2025 Q3,129.0,24.0,,,,,,0.1860465109348297,0,0.09823937714099884,0.28295812010765076,Low isolation / Low participation,40�75 mi,<20 mi,17.24911117553711,39.57909393310547,-77.65161895751953
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,hagerstown maryland stake|chambersburg 1st ward,,,Chambersburg 1st Ward,Maryland Baltimore,Hagerstown Maryland Stake,Maryland,Chambersburg,2025 Q3,126.0,29.0,,,,,,,,,,,,,,,
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,hagerstown maryland stake|chambersburg 2nd ward,,,Chambersburg 2nd Ward,Maryland Baltimore,Hagerstown Maryland Stake,Maryland,Chambersburg,2025 Q3,111.0,13.0,,,,,,,,,,,,,,,
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,hagerstown maryland stake|city park ward,,,City Park Ward,Maryland Baltimore,Hagerstown Maryland Stake,Maryland,City Park,2025 Q3,164.0,19.0,,,,,,0.11585365980863571,1,0.26554155349731445,0.3692589998245239,Low isolation / Low participation,40�75 mi,20�40 mi,22.802169799804688,39.637813568115234,-77.7307357788086
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,hagerstown maryland stake|cumberland ward,,,Cumberland Ward,Maryland Baltimore,Hagerstown Maryland Stake,Maryland,Cumberland,2025 Q3,168.0,36.0,,,,,,0.2142857164144516,0,0.11038435995578766,0.22513459622859955,Low isolation / Low participation,?75 mi,?75 mi,75.96073150634766,39.65264892578125,-78.76238250732422
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,hagerstown maryland stake|hagerstown branch (spanish),,,Hagerstown Branch (Spanish),Maryland Baltimore,Hagerstown Maryland Stake,Maryland,Hagerstown,2025 Q3,17.0,8.0,,,,,,0.47058823704719543,0,0.029247861355543137,0.2378702014684677,Low isolation / High participation,40�75 mi,20�40 mi,22.435277938842773,39.64304733276367,-77.71910858154297
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,hagerstown maryland stake|hancock ward,,,Hancock Ward,Maryland Baltimore,Hagerstown Maryland Stake,Maryland,Hancock,2025 Q3,126.0,22.0,,,,,,0.1746031790971756,0,0.16260793805122375,0.2772033214569092,Low isolation / Low participation,?75 mi,40�75 mi,46.60808563232422,39.69940185546875,-78.18209838867188
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,hagerstown maryland stake|keyser branch,,,Keyser Branch,Maryland Baltimore,Hagerstown Maryland Stake,Maryland,Keyser,2025 Q3,69.0,10.0,,,,,,0.14492753148078918,0,0.17455682158470154,0.3325463533401489,Low isolation / Low participation,20�40 mi,<20 mi,3.86565899848938,39.43704605102539,-77.30998229980469
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,hagerstown maryland stake|mcconnellsburg branch,,,McConnellsburg Branch,Maryland Baltimore,Hagerstown Maryland Stake,Maryland,McConnellsburg,2025 Q3,,,,,,,,,,,,,,,,,
